name,state,population,land_area
Newark,New Jersey,282090,62.4
Newport News,Virginia,178626,179
Norfolk,Virginia,244076,138
Norman,Oklahoma,123471,463.1
North Charleston,South Carolina,113237,190.9
North Las Vegas,Nevada,245949,253.8
Norwalk,California,105120,25.1
Oakland,California,429082,144.8
Oceanside,California,176080,107
Odessa,Texas,120568,117.1
Oklahoma City,Oklahoma,649021,1570.3
Olathe,Kansas,139605,157.7
Omaha,Nebraska,468262,345
Ontario,California,181107,129.2
Orange,California,139484,65.8
Orlando,Florida,285713,272.5
Overland Park,Kansas,192536,194.5
Oxnard,California,209877,69.7
Palm Bay,Florida,114194,170.2
Palmdale,California,156667,274.5
Pasadena,Texas,153219,112.7
Pasadena,California,141371,59.6
Paterson,New Jersey,145627,21.8
Pearland,Texas,122149,119.9
Pembroke Pines,Florida,172374,85.5
Peoria,Arizona,172259,455.1
Peoria,Illinois,111388,124.8
Philadelphia,Pennsylvania,1584138,347.6
Phoenix,Arizona,1660272,1340.6
Pittsburgh,Pennsylvania,301048,143.5
Plano,Texas,288061,185.7
Pomona,California,152361,59.6
Pompano Beach,Florida,111954,62.2
Port St. Lucie,Florida,195248,307.9
Portland,Oregon,653115,345.8
Providence,Rhode Island,179335,47.7
Provo,Utah,116702,108
Pueblo,Colorado,111750,138.8
Raleigh,North Carolina,469298,375.8
Rancho Cucamonga,California,177751,103.6
Reno,Nevada,250998,277.9
Renton,Washington,102153,60.6
Rialto,California,103440,57.8
Richardson,Texas,120981,74.1
Richmond,Virginia,228783,154.9
Richmond,California,110146,78
Riverside,California,330063,210.3
Rochester,New York,206284,92.7
Rochester,Minnesota,116961,141.4
Rockford,Illinois,146526,164.5
Roseville,California,139117,111.4
Round Rock,Texas,128739,92.2
Sacramento,California,508529,253.6
Saint Paul,Minnesota,307695,134.7
Salem,Oregon,173442,125.9
Salinas,California,156259,61.1
Salt Lake City,Utah,200591,288
San Angelo,Texas,100215,155.1
San Antonio,Texas,1532233,1194
San Bernardino,California,215941,159.3
San Diego,California,1425976,842.3
San Francisco,California,883305,121.5
San Jose,California,1030119,459.7
San Mateo,California,105025,31.3
Sandy Springs,Georgia,108797,97.6
Santa Ana,California,332725,70.2
Santa Clara,California,129488,47.7
Santa Clarita,California,210089,136.8
Santa Maria,California,107408,59.1
Santa Rosa,California,177586,107
Savannah,Georgia,145862,268.3
Scottsdale,Arizona,255310,476.3
Seattle,Washington,744955,217
Shreveport,Louisiana,188987,277.4
Simi Valley,California,125851,107.5
Sioux Falls,South Dakota,181883,195.3
South Bend,Indiana,101860,107.2
Sparks,Nevada,104246,93
Spokane,Washington,219190,177.9
Springfield,Missouri,168122,213.2
Springfield,Massachusetts,155032,82.6
Springfield,Illinois,114694,155.7
St. Louis,Missouri,302838,160.6
St. Petersburg,Florida,265098,160.1
Stamford,Connecticut,129775,97.4
Sterling Heights,Michigan,132964,94.5
Stockton,California,311178,159.8
Sugar Land,Texas,118600,88.1
Sunnyvale,California,153185,57
Surprise,Arizona,138161,279.5
Syracuse,New York,142749,64.7
Tacoma,Washington,216279,128.7
Tallahassee,Florida,193551,260
Tampa,Florida,392890,293.7
Temecula,California,114742,96.6
Tempe,Arizona,192364,103.6
Thornton,Colorado,139436,92.5
Thousand Oaks,California,127690,143
Toledo,Ohio,274975,209
Topeka,Kansas,125904,159.3
Torrance,California,145182,53.1
Tucson,Arizona,545975,597.8
Tulsa,Oklahoma,400669,509.7
Tuscaloosa,Alabama,101113,185.7
Tyler,Texas,105729,146.6
Vacaville,California,100154,75.1
Vallejo,California,121913,79.5
Vancouver,Washington,183012,121.5
Ventura,California,111128,56.5
Victorville,California,122312,189.8
Virginia Beach,Virginia,450189,633.8
Visalia,California,133800,97.1
Vista,California,101224,48.4
Waco,Texas,138183,230.5
Warren,Michigan,134587,89.1
Washington,District of Columbia,702455,158.2
Waterbury,Connecticut,108093,73.8
West Covina,California,106311,41.4
West Jordan,Utah,116046,83.7
West Palm Beach,Florida,111398,142.7
West Valley City,Utah,136401,91.9
Westminster,Colorado,113479,82.1
Wichita,Kansas,389255,415.4
Wichita Falls,Texas,104576,187
Wilmington,North Carolina,122607,133.6
Winston-Salem,North Carolina,246328,343.2
Woodbridge,New Jersey,100450,60.3
Worcester,Massachusetts,185877,96.9
Yonkers,New York,199663,46.6
Lorain,Ohio,64097,61.31
Saint Louis,Missouri,319294,160
Charenton,Louisiana,1903,13.5
Yuba (county),California,72155,1640
Moultrie,Georgia,14268,43.17
Mohawk,New York,3844,89.82
Federal Way,Washington,89306,57.74
Chester,Pennsylvania,33972,12.52
Smithfield,North Carolina,10966,31.39
Delanco,New Jersey,4283,6.102
Victoria,Virginia,1725,7.29
Bean Station,Tennessee,2826,15.51
Flint,Michigan,102434,86.6
Greensburg,Kentucky,2163,5.41
Clarksburg,West Virginia,16578,25.16
Hobbs,New Mexico,34122,49
Lake Butler,Florida,1897,5.87
Washington Navy Yard,District of Columbia,2794,1.37
Rice,Texas,923,7
Pinckneyville,Illinois,5648,10.63
Bogue Chitto,Mississippi,887,16.3
Lihue,Hawaii,6455,17.3
Fort Dodge,Iowa,25206,41.57
Tahlequah,Oklahoma,15753,32.33
San Tan Valley,Arizona,81321,95
Willimantic,Connecticut,17737,11.4
Fall River,Massachusetts,88857,85.8
Somerville,Alabama,724,7.92
Magnolia,Delaware,225,0.31
Nashua,New Hampshire,86494,79.9
Rock Hill,South Carolina,74309,111.8
Saint Paul (West Saint Paul),Minnesota,285068,134.61
Mccall,Idaho,2991,23.4
Racine,Wisconsin,78860,40.08
Corvallis,Oregon,54462,36.95
Bono,Arkansas,2131,7.05
Omaha (Ralston),Nebraska,5943,4.27
Pawtucket,Rhode Island,71148,22.6
Suitland,Maryland,25825,11
Granger,Indiana,30465,67.9
Spanish Fork,Utah,34691,42.02
Williston,North Dakota,14716,19.42
Barre,Vermont,9052,10.22
Idaho Springs,Colorado,1717,5.61
Laughlin,Nevada,7323,228
Barrow,Alaska,4212,48.61
Glacier County,Montana,13999,7760
Bangor,Maine,33039,88.73
Rapid City,South Dakota,67956,141.69
Lenexa,Kansas,48190,88.32
Casper,Wyoming,55316,68.7
Brentwood,California,51481,38.46
